title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
Income before taxes	3199.47	7902.98	12540.34	17481.49	25021.52	35210.06	46086.40	60786.50	133343.78	65895.38
Meals as pay	0.67	0.33	0.22	0.15	0.60	0.76	0.41	0.55	0.71	0.57
Rent as pay	0.60	22.96	4.44	5.89	2.02	2.62	1.59	5.60	5.74	4.92
Income before taxes	3198.20	7879.69	12535.69	17475.45	25018.90	35206.68	46084.39	60780.36	133337.33	65889.88
Income after taxes	2645.90	7888.38	12616.83	17190.31	25070.82	34981.15	45094.16	59245.88	127467.52	63628.59
Meals as pay	0.67	0.33	0.22	0.15	0.60	0.76	0.41	0.55	0.71	0.57
Rent as pay	0.60	22.96	4.44	5.89	2.02	2.62	1.59	5.60	5.74	4.92
Income after taxes	2644.63	7865.09	12612.17	17184.27	25068.21	34977.77	45092.16	59239.73	127461.07	63623.10
Age of reference person	43.30	49.14	54.31	54.02	52.27	49.43	47.66	46.95	46.86	48.79
Persons	1.82	1.60	1.70	1.99	2.10	2.27	2.44	2.60	3.07	2.48
Children under 18	0.55	0.34	0.40	0.50	0.50	0.55	0.56	0.61	0.85	0.63
Persons 65 and older	0.17	0.34	0.45	0.48	0.51	0.43	0.31	0.25	0.16	0.31
Earners	0.47	0.44	0.43	0.67	0.80	1.05	1.32	1.55	1.92	1.30
Vehicles (owned)	0.87	0.68	0.84	1.04	1.22	1.39	1.67	1.87	2.36	1.68
Male	40.89	30.11	34.23	33.86	37.82	44.18	47.77	52.61	53.20	46.05
Female	59.11	69.89	65.77	66.14	62.18	55.82	52.23	47.39	46.80	53.95
Homeowner	38.25	31.23	43.44	53.40	56.45	57.07	66.96	70.12	85.89	66.58
With mortgage	17.38	10.38	12.22	16.49	19.43	25.93	37.69	48.14	69.81	41.48
Without mortgage	18.23	16.53	26.04	28.85	29.71	25.02	24.06	17.72	13.81	20.56
Mortgage not reported	2.64	4.32	5.18	8.07	7.31	6.12	5.21	4.25	2.27	4.54
Renter	61.75	68.77	56.56	46.60	43.55	42.93	33.04	29.88	14.11	33.42
Black or African-American	17.19	19.97	18.34	16.93	14.42	13.96	11.68	11.68	6.54	11.84
White, Asian, and all other races	82.81	80.03	81.66	83.07	85.58	86.04	88.32	88.32	93.46	88.16
White	75.55	76.02	78.10	79.01	81.52	81.45	82.54	83.72	87.62	83.15
Asian	6.32	2.92	2.78	2.60	2.27	2.36	4.13	3.05	4.63	3.54
All other races	0.95	1.09	0.78	1.47	1.79	2.23	1.65	1.55	1.21	1.46
Hispanic or Latino	8.81	14.57	14.97	14.24	14.55	13.67	11.66	11.04	7.76	11.29
Not Hispanic or Latino	91.19	85.43	85.03	85.76	85.45	86.33	88.34	88.96	92.24	88.71
Elementary (1-8)	7.14	10.71	9.10	8.81	8.24	5.23	4.13	2.54	1.09	4.48
High school (9-12)	35.02	45.45	52.03	55.00	47.99	43.86	37.76	34.59	18.70	35.24
College	57.84	43.29	38.72	36.18	43.61	50.76	57.98	62.57	80.10	60.11
Never attended and other	0.00	0.55	0.15	0.00	0.16	0.16	0.14	0.30	0.11	0.16
At least one vehicle owned	57.84	51.97	62.67	71.03	79.91	82.65	87.94	91.06	95.14	84.26
Food	70.46	59.16	61.63	65.46	77.40	94.34	99.21	115.06	170.53	114.46
Food at home	47.45	41.50	43.75	47.13	52.36	61.81	63.53	71.48	99.29	71.07
Cereals and bakery products	6.82	5.41	6.34	6.60	6.95	8.18	8.41	9.76	13.84	9.75
Cereals and cereal products	2.70	1.80	2.43	2.29	2.29	2.89	2.86	3.23	4.48	3.26
Flour	0.16	0.05	0.09	0.19	0.15	0.13	0.19	0.15	0.17	0.15
Prepared flour mixes	0.12	0.06	0.12	0.11	0.15	0.23	0.20	0.23	0.34	0.23
Ready-to-eat and cooked cereals	1.24	1.11	1.20	1.29	1.27	1.62	1.55	1.77	2.53	1.81
Rice	0.53	0.28	0.66	0.33	0.39	0.42	0.43	0.51	0.57	0.49
Pasta, cornmeal and other cereal products	0.65	0.31	0.36	0.37	0.33	0.49	0.48	0.57	0.88	0.59
Bakery products	4.12	3.61	3.91	4.31	4.66	5.29	5.55	6.53	9.36	6.49
Bread	1.35	1.19	1.38	1.29	1.43	1.73	1.67	1.91	2.55	1.90
White bread	0.52	0.53	0.58	0.52	0.62	0.69	0.66	0.73	0.87	0.71
Bread, other than white	0.83	0.66	0.80	0.77	0.81	1.04	1.01	1.18	1.69	1.19
Cookies and crackers	0.91	0.92	0.91	0.99	1.10	1.28	1.30	1.56	2.33	1.57
Cookies	0.54	0.57	0.51	0.55	0.65	0.75	0.75	0.91	1.31	0.90
Crackers	0.37	0.35	0.40	0.44	0.45	0.53	0.55	0.66	1.02	0.67
Frozen and refrigerated bakery products	0.38	0.34	0.23	0.34	0.36	0.34	0.52	0.53	0.71	0.50
Other bakery products	1.48	1.17	1.40	1.70	1.77	1.94	2.06	2.53	3.77	2.52
Biscuits and rolls	0.47	0.50	0.51	0.51	0.60	0.68	0.79	1.00	1.46	0.95
Cakes and cupcakes	0.52	0.31	0.43	0.53	0.58	0.60	0.58	0.76	1.16	0.77
Bread and cracker products	0.06	0.07	0.05	0.07	0.04	0.09	0.08	0.08	0.14	0.09
Sweetrolls, coffee cakes, doughnuts	0.27	0.16	0.21	0.39	0.37	0.35	0.35	0.44	0.57	0.42
Pies, tarts, turnovers	0.16	0.13	0.19	0.20	0.17	0.21	0.26	0.26	0.44	0.28
Meats, poultry, fish, and eggs	10.71	10.32	10.23	10.39	12.87	15.20	15.26	16.31	21.79	16.28
Beef	2.94	2.57	2.54	2.90	3.27	4.61	4.47	4.47	6.32	4.59
Ground beef	1.08	1.05	1.14	1.10	1.37	1.62	1.78	1.79	2.24	1.73
Roast	0.59	0.27	0.31	0.50	0.44	0.78	0.83	0.76	1.04	0.75
Chuck roast	0.23	0.15	0.06	0.11	0.11	0.18	0.25	0.23	0.24	0.19
Round roast	0.09	0.03	0.03	0.09	0.07	0.08	0.13	0.15	0.17	0.12
Other roast	0.27	0.10	0.22	0.30	0.26	0.52	0.45	0.37	0.63	0.44
Steak	0.79	0.91	0.79	1.08	1.10	1.73	1.45	1.57	2.48	1.68
Round steak	0.26	0.09	0.10	0.23	0.17	0.26	0.26	0.28	0.32	0.25
Sirloin steak	0.21	0.24	0.18	0.28	0.26	0.48	0.45	0.41	0.64	0.44
Other steak	0.32	0.58	0.51	0.57	0.66	1.00	0.74	0.89	1.52	0.99
Other beef	0.48	0.33	0.31	0.23	0.36	0.48	0.40	0.36	0.55	0.43
Pork	1.93	1.97	2.40	2.06	2.77	2.76	3.10	3.26	3.95	3.13
Bacon	0.30	0.36	0.37	0.47	0.46	0.48	0.64	0.56	0.71	0.56
Pork chops	0.36	0.24	0.68	0.36	0.52	0.62	0.68	0.57	0.75	0.61
Ham	0.40	0.39	0.49	0.40	0.65	0.55	0.58	0.71	0.78	0.64
Ham, not canned	0.40	0.37	0.48	0.40	0.63	0.54	0.58	0.69	0.77	0.63
Canned ham	0.00	0.01	0.01	0.00	0.02	0.01	0.01	0.02	0.01	0.01
Sausage	0.31	0.37	0.45	0.33	0.44	0.50	0.56	0.56	0.69	0.54
Other pork	0.56	0.61	0.41	0.50	0.70	0.60	0.64	0.86	1.01	0.77
Other meats	1.46	1.23	1.16	1.23	1.45	1.98	1.94	2.20	2.75	2.05
Frankfurters	0.27	0.28	0.27	0.24	0.35	0.30	0.47	0.39	0.50	0.39
Lunch meats (cold cuts)	1.05	0.82	0.82	0.84	0.98	1.36	1.37	1.44	1.94	1.42
Bologna, liverwurst, salami	0.37	0.17	0.28	0.20	0.27	0.35	0.36	0.38	0.43	0.35
Other lunchmeats	0.68	0.65	0.54	0.63	0.71	1.01	1.00	1.06	1.50	1.06
Lamb, organ meats and others	0.14	0.13	0.08	0.15	0.13	0.32	0.10	0.37	0.30	0.24
Lamb and organ meats	0.08	0.07	0.05	0.11	0.11	0.30	0.08	0.17	0.26	0.18
Mutton, goat and game	0.06	0.06	0.03	0.04	0.01	0.01	0.03	0.20	0.04	0.06
Poultry	2.44	2.31	2.00	1.96	2.52	2.70	2.73	3.12	4.02	3.06
Fresh and frozen chickens	1.95	2.04	1.75	1.60	2.01	2.18	2.17	2.52	3.11	2.44
Fresh and frozen whole chicken	0.51	0.46	0.53	0.34	0.57	0.60	0.47	0.72	0.78	0.63
Fresh and frozen chicken parts	1.44	1.59	1.23	1.26	1.44	1.57	1.71	1.80	2.33	1.80
Other poultry	0.49	0.27	0.25	0.36	0.51	0.52	0.55	0.60	0.91	0.62
Fish and seafood	1.31	1.57	1.43	1.39	2.01	2.27	1.97	2.25	3.57	2.46
Canned fish and seafood	0.22	0.35	0.17	0.17	0.25	0.27	0.27	0.32	0.44	0.32
Fresh fish and shellfish	0.53	0.64	0.76	0.65	1.06	1.24	1.04	1.13	1.95	1.30
Frozen fish and shellfish	0.56	0.58	0.50	0.57	0.70	0.76	0.67	0.80	1.18	0.84
Eggs	0.63	0.66	0.70	0.85	0.84	0.88	1.04	1.01	1.19	0.98
Dairy products	5.61	4.87	5.03	5.95	5.76	7.28	7.13	8.02	11.77	8.26
Fresh milk and cream	2.15	2.19	2.20	2.47	2.50	3.05	2.83	3.10	4.34	3.23
Fresh milk, all types	1.94	1.99	2.05	2.30	2.28	2.77	2.53	2.76	3.79	2.88
Cream	0.21	0.20	0.16	0.17	0.22	0.28	0.31	0.34	0.55	0.35
Other dairy products	3.46	2.67	2.82	3.48	3.25	4.23	4.30	4.92	7.43	5.03
Butter	0.28	0.21	0.31	0.27	0.30	0.38	0.31	0.41	0.58	0.41
Cheese	1.71	1.23	1.42	1.66	1.72	2.11	2.18	2.44	3.90	2.58
Ice cream and related products	0.77	0.68	0.68	0.77	0.76	1.04	1.08	1.28	1.59	1.16
Miscellaneous dairy products	0.70	0.55	0.41	0.78	0.47	0.70	0.72	0.79	1.36	0.88
Fruits and vegetables	8.40	7.52	7.52	8.10	9.46	10.96	10.69	12.73	17.86	12.63
Fresh fruits	2.46	2.53	2.68	2.48	3.15	3.68	3.49	4.36	6.13	4.27
Apples	0.44	0.34	0.54	0.41	0.54	0.60	0.72	0.73	1.14	0.77
Bananas	0.41	0.45	0.42	0.47	0.48	0.57	0.53	0.64	0.83	0.62
Oranges	0.29	0.27	0.31	0.25	0.40	0.41	0.41	0.58	0.63	0.48
Citrus fruits, excluding oranges	0.18	0.25	0.20	0.19	0.25	0.30	0.26	0.37	0.51	0.35
Other fresh fruits	1.15	1.21	1.20	1.16	1.48	1.79	1.57	2.03	3.02	2.04
Fresh vegetables	2.97	2.47	2.37	2.58	3.04	3.54	3.37	3.99	5.83	4.07
Potatoes	0.48	0.54	0.47	0.54	0.66	0.65	0.63	0.71	0.95	0.73
Lettuce	0.40	0.27	0.29	0.25	0.34	0.43	0.42	0.44	0.78	0.51
Tomatoes	0.41	0.35	0.44	0.49	0.54	0.57	0.65	0.74	0.99	0.71
Other fresh vegetables	1.67	1.31	1.17	1.30	1.49	1.89	1.67	2.10	3.11	2.13
Processed fruits	1.55	1.36	1.22	1.57	1.57	1.88	1.97	2.32	3.16	2.24
Frozen fruits and fruit juices	0.04	0.12	0.07	0.13	0.14	0.20	0.22	0.25	0.31	0.22
Frozen orange juice	0.01	0.03	0.03	0.05	0.07	0.07	0.07	0.10	0.10	0.08
Frozen fruits	0.02	0.07	0.02	0.06	0.06	0.10	0.12	0.11	0.17	0.11
Frozen fruit juices	0.01	0.02	0.02	0.01	0.01	0.03	0.03	0.04	0.05	0.03
Canned fruits	0.35	0.26	0.20	0.35	0.34	0.32	0.34	0.38	0.54	0.40
Dried fruit	0.10	0.09	0.06	0.15	0.09	0.14	0.12	0.12	0.22	0.15
Fresh fruit juice	0.16	0.12	0.20	0.20	0.22	0.28	0.36	0.35	0.52	0.35
