*  *  Diary stub parameter file                                      HEADDIR   H  1  CUCHARS
1  1  Number of consumer units                                       CONSUNIT  S  1  CUCHARS
*  *  Number of sample diaries                                       SAMPDIAR  S  1  CUCHARS
*  *  Lower limit                                                    QUINTLIM  S  1  CUCHARS
*  *  Consumer unit characteristics:                                 TITLECU   T  1  CUCHARS
1  1    Income before taxes                                          INCBFTAX  D  1  CUCHARS
1  2      Meals as pay                                               800700    D  1  CUCHARS
1  2      Rent as pay                                                800710    D  1  CUCHARS
1  2      Income before taxes                                        980000    D  1  CUCHARS
1  1    Income after taxes                                           INCAFTAX  D  1  CUCHARS
1  2      Meals as pay                                               800700    D  1  CUCHARS
1  2      Rent as pay                                                800710    D  1  CUCHARS
1  2      Income after taxes                                         980070    D  1  CUCHARS
1  1    Age of reference person                                      980020    D  1  CUCHARS
*  *    Average number in consumer unit:                             TITLEACU  T  1  CUCHARS
1  1      Persons                                                    980010    D  1  CUCHARS
1  1      Children under 18                                          980050    D  1  CUCHARS
1  1      Persons 65 and older                                       980060    D  1  CUCHARS
1  1      Earners                                                    980030    D  1  CUCHARS
1  1      Vehicles (owned)                                           980040    D  1  CUCHARS
*  *  Percent distribution:                                          TITLEPD   T  1  CUCHARS
*  *    Sex of reference person:                                     TITLESRP  T  1  CUCHARS
1  1      Male                                                       980210    D  1  CUCHARS
1  1      Female                                                     980220    D  1  CUCHARS
*  *    Housing tenure:                                              TITLEHT   T  1  CUCHARS
1  1      Homeowner                                                  HOMEOWN   G  1  CUCHARS
1  2        With mortgage                                            980230    D  1  CUCHARS
1  2        Without mortgage                                         980240    D  1  CUCHARS
1  2        Mortgage not reported                                    980250    D  1  CUCHARS
1  1      Renter                                                     980260    D  1  CUCHARS
*  *    Race of reference person:                                    TITLERRP  T  1  CUCHARS
1  1      Black or African-American                                  980270    D  1  CUCHARS
1  1      White, Asian, and all other races                          WHTNDOTH  D  1  CUCHARS
1  2        White                                                    980281    D  1  CUCHARS
1  2        Asian                                                    980282    D  1  CUCHARS
1  2        All other races                                          980283    D  1  CUCHARS
*  *    Hispanic or Latino origin of reference person:               TITLEHOP  T  1  CUCHARS
1  1      Hispanic or Latino                                         980285    D  1  CUCHARS
1  1      Not Hispanic or Latino                                     980286    D  1  CUCHARS
*  *    Education of reference person:                               TITLEEDU  T  1  CUCHARS
1  1      Elementary (1-8)                                           980290    D  1  CUCHARS
1  1      High school (9-12)                                         980300    D  1  CUCHARS
1  1      College                                                    980310    D  1  CUCHARS
1  1      Never attended and other                                   980320    D  1  CUCHARS
1  1    At least one vehicle owned                                   980330    D  1  CUCHARS
*  *  Average weekly expenditures:                                   TITLEAWE  T  1  EXPEND 
1  1    Food                                                         FOODTOTL  G  1  EXPEND 
1  2      Food at home                                               FOODHOME  G  1  FOOD   
1  3        Cereals and bakery products                              CERBAKRY  G  1  FOOD   
1  4          Cereals and cereal products                            CEREAL    G  1  FOOD   
1  5            Flour                                                010110    D  1  FOOD   
1  5            Prepared flour mixes                                 010120    D  1  FOOD   
1  5            Ready-to-eat and cooked cereals                      010210    D  1  FOOD   
1  5            Rice                                                 010310    D  1  FOOD   
1  5            Pasta, cornmeal and other cereal products            010320    D  1  FOOD   
1  4          Bakery products                                        BAKERY    G  1  FOOD   
1  5            Bread                                                BREAD     G  1  FOOD   
1  6              White bread                                        020110    D  1  FOOD   
1  6              Bread, other than white                            020210    D  1  FOOD   
1  5            Cookies and crackers                                 CRAKCOOK  G  1  FOOD   
1  6              Cookies                                            020510    D  1  FOOD   
1  6              Crackers                                           020610    D  1  FOOD   
1  5            Frozen and refrigerated bakery products              020810    D  1  FOOD   
1  5            Other bakery products                                OTHBAKRY  G  1  FOOD   
1  6              Biscuits and rolls                                 020310    D  1  FOOD   
1  6              Cakes and cupcakes                                 020410    D  1  FOOD   
1  6              Bread and cracker products                         020620    D  1  FOOD   
1  6              Sweetrolls, coffee cakes, doughnuts                020710    D  1  FOOD   
1  6              Pies, tarts, turnovers                             020820    D  1  FOOD   
1  3        Meats, poultry, fish, and eggs                           ANIMAL    G  1  FOOD   
1  4          Beef                                                   BEEF      G  1  FOOD   
1  5            Ground beef                                          030110    D  1  FOOD   
1  5            Roast                                                ROAST     G  1  FOOD   
1  6              Chuck roast                                        030210    D  1  FOOD   
1  6              Round roast                                        030310    D  1  FOOD   
1  6              Other roast                                        030410    D  1  FOOD   
